"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:34.897546"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:35.003722"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None)]" "2018-08-04 16:38:35.109663"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.439227"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.547460"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.654838"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.764405"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.871138"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:37.976554"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.083091"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.189284"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.297339"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.405533"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.512370"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.617528"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.729476"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.835323"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:38.940082"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:39.050749"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:39.159574"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:39.266044"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:39.373937"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:39.479403"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:41.818948"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:41.927572"
"[(u'title, description', None), (u'buy new shoes, buy a new pair of shoes to go to the church', None), (u'go to the market, buy all the ingrediants to make pepperoni pizza', None), (u""call mariana, talk to her about people we are inviting to victorias's surprise party"", None), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...'), (u'just testing...', u'just testing...')]" "2018-08-04 16:38:42.034828"
